â–¼,Player,Age,Pos,ATOI,Salaire,Poids,Taille
1,Tyler Wotherspoon,23,D,10:54:00,6.25,92.1,1.85
2,Chad Johnson,30,G,07:55:00,17,88.9,1.91
3,Mark Jankowski,22,C,10:18:00,9.25,83.9,1.91
4,Rasmus Andersson,20,D,06:33:00,7.425,96.2,1.83
5,Michael Stone,26,D,06:51:00,40,95.3,1.91
6,Troy Brouwer,31,RW,04:13:00,45,97.5,1.91
7,Micheal Ferland,24,LW,11:34:00,9,94.3,1.88
8,Sam Bennett,20,C,02:59:00,9.25,84.4,1.85
9,T.J. Brodie,26,D,11:35:00,48.38,82.6,1.85
10,Kris Versteeg,30,RW,02:44:00,9.5,79.8,1.8
11,Philip Larsen,27,D,04:28:00,10.25,83.9,1.85
12,Brock Boeser,19,RW,04:13:00,9.25,87.1,1.83
13,Jake Virtanen,20,RW,10:09:00,9.25,103.9,1.85
14,Richard Bachman,29,G,11:02:00,5.75,77.1,1.8
15,Evan McEneny,22,D,03:08:00,5.75,97.1,1.88
16,Dustin Byfuglien,31,D,03:27:00,80,117.9,1.96
17,Bryan Little,29,C,05:33:00,50,86.6,1.83
18,Mathieu Perreault,29,C,04:17:00,30,85.3,1.78
19,Shawn Matthias,28,LW,01:34:00,21.25,104.8,1.93
20,Alexander Burmistrov,25,C,11:02:00,16,81.6,1.85
21,Michael Hutchinson,26,G,01:14:00,10,91.6,1.91
22,Nelson Nogier,20,D,11:43:00,6.25,86.6,1.88
23,Ondrej Pavelec,29,G,06:56:00,13,98.0,1.88
24,Jack Roslovic,20,C,08:24:00,9.25,82.6,1.85
25,Auston Matthews,19,C,05:38:00,9.25,88.0,1.88
26,James van Riemsdyk,27,LW,03:53:00,50,95.3,1.91
27,Nazem Kadri,26,C,04:35:00,50,88.5,1.83
28,William Nylander,20,C,16:01:00,9.25,86.2,1.83
29,Morgan Rielly,22,D,22:10:00,50,97.5,1.85
30,Matt Martin,27,LW,08:54:00,35,99.8,1.91
31,Nikita Soshnikov,23,RW,10:51:00,7.425,86.2,1.8
32,Connor Carrick,22,D,16:20:00,6.5,88.5,1.8
33,Frederik Gauthier,21,C,09:42:00,8.325,98.0,1.93
34,Frederik Andersen,27,G,09:34:00,50,104.3,1.93
35,Jhonas Enroth,28,G,21:44:00,7.5,79.4,1.78
36,Curtis McElhinney,33,G,06:12:00,8.5,90.7,1.91
37,Derick Brassard,29,C,17:23:00,50,93.0,1.85
38,Jean-Gabriel Pageau,24,C,16:08:00,11,81.6,1.78
39,Zack Smith,28,C,16:23:00,23.5,94.8,1.88
40,Ryan Dzingel,24,LW,14:23:00,7.5,86.2,1.83
41,Dion Phaneuf,31,D,23:02:00,75,103.0,1.91
42,Chris Kelly,36,C,11:56:00,9,87.5,1.83
43,Marc Methot,31,D,19:49:00,49,103.4,1.91
44,Alexandre Burrows,35,LW,13:47:00,30,89.4,1.85
45,Fredrik Claesson,24,D,13:08:00,7,89.8,1.83
46,Christopher Didomenico,27,RW,11:01:00,5.75,78.9,1.8
47,Alexander Radulov,30,RW,18:17:00,57.5,93.0,1.88
48,Andrei Markov,38,D,21:50:00,42.5,90.7,1.83
49,Tomas Plekanec,34,C,16:49:00,70,88.9,1.8
50,Sven Andrighetto,23,RW,11:29:00,6.5,83.0,1.75
51,Chris Terry,27,LW,09:53:00,6,88.5,1.78
52,Al Montoya,31,G,11:12:00,9.5,94.8,1.88
53,Andreas Martinsen,26,LW,11:54:00,6.4,99.8,1.91
54,Andrej Sekera,30,D,21:29:00,65,89.8,1.83
55,Darnell Nurse,21,D,17:01:00,8.325,96.6,1.93
56,Taylor Beck,25,LW,05:53:00,6.5,93.9,1.88
57,Laurent Brossoit,23,G,17:33:00,6.5,91.6,1.91
